pixel_id,point_data
71500,POINT(-70.25 -40.25)
71501,POINT(-69.75 -40.25)
71502,POINT(-69.25 -40.25)
71503,POINT(-68.75 -40.25)
71504,POINT(-68.25 -40.25)
71505,POINT(-67.75 -40.25)
71506,POINT(-67.25 -40.25)
71507,POINT(-66.75 -40.25)
71508,POINT(-66.25 -40.25)
71509,POINT(-65.75 -40.25)
71510,POINT(-65.25 -40.25)
71511,POINT(-64.75 -40.25)
71512,POINT(-64.25 -40.25)
71513,POINT(-63.75 -40.25)
71514,POINT(-63.25 -40.25)
71515,POINT(-62.75 -40.25)
71516,POINT(-62.25 -40.25)
71621,POINT(-9.75 -40.25)
71928,POINT(143.75 -40.25)
71929,POINT(144.25 -40.25)
71930,POINT(144.75 -40.25)
71931,POINT(145.25 -40.25)
71936,POINT(147.75 -40.25)
71937,POINT(148.25 -40.25)
71938,POINT(148.75 -40.25)
71991,POINT(175.25 -40.25)
71992,POINT(175.75 -40.25)
71993,POINT(176.25 -40.25)
71994,POINT(176.75 -40.25)
72213,POINT(-73.75 -39.75)
72214,POINT(-73.25 -39.75)
72215,POINT(-72.75 -39.75)
72216,POINT(-72.25 -39.75)
72217,POINT(-71.75 -39.75)
72218,POINT(-71.25 -39.75)
72219,POINT(-70.75 -39.75)
72220,POINT(-70.25 -39.75)
72221,POINT(-69.75 -39.75)
72222,POINT(-69.25 -39.75)
72223,POINT(-68.75 -39.75)
72224,POINT(-68.25 -39.75)
72225,POINT(-67.75 -39.75)
72226,POINT(-67.25 -39.75)
72227,POINT(-66.75 -39.75)
72228,POINT(-66.25 -39.75)
72229,POINT(-65.75 -39.75)
72230,POINT(-65.25 -39.75)
72231,POINT(-64.75 -39.75)
72232,POINT(-64.25 -39.75)
72233,POINT(-63.75 -39.75)
72234,POINT(-63.25 -39.75)
72235,POINT(-62.75 -39.75)
72236,POINT(-62.25 -39.75)
72648,POINT(143.75 -39.75)
72649,POINT(144.25 -39.75)
72655,POINT(147.25 -39.75)
72656,POINT(147.75 -39.75)
72657,POINT(148.25 -39.75)
72708,POINT(173.75 -39.75)
72709,POINT(174.25 -39.75)
72710,POINT(174.75 -39.75)
72711,POINT(175.25 -39.75)
72712,POINT(175.75 -39.75)
